ObjID,ra,dec,score_locus,score_straight,references_in_locus,references_in_straight,references_total
1237656563823411456,264.14168358414094,65.08988947707132,24.21047554387247,19.176917343162746,26,20,68
1237651504342171904,200.68798599386548,-0.2542275221606487,17.922796259813126,6.439384820021579,30,14,79
1237666209802486272,312.98105919320705,1.9181425925096733,53.29781661125651,38.17849143677992,67,52,228
1237657609110159616,126.37600271482475,40.81436269977216,2.4934882627735155,1.605286748674848,17,11,47
1237660751946318080,64.9950439596641,28.94318329452477,0.6019216800436946,0.3009320719749299,4,2,4
1237669701047353600,7.895983274038485,6.513469009896983,3.0073596355393537,1.6540467289609886,20,11,44
1237670959479324928,42.86574259156411,31.01512136053507,10.591724930721272,6.960558162113525,20,13,55
1237671167245222144,170.17567671821652,-10.920204841171866,4.9562631676721125,3.360860080415499,34,23,73
1237678617936658688,318.76494143339835,1.0254782582503184,2.7067341559366094,1.6541092397572854,18,11,41
1237651274033266944,123.43623398272545,50.64037089014423,2.8149467531449917,1.1862533515685887,19,8,49
1237666463185502464,83.3709197925395,61.448898289670936,2.5563395320941398,1.0526001114970578,17,7,42
1237671771759772160,278.05883593440984,63.49882531577774,25.666016193189265,20.840362617007553,30,25,83
1237667727512306432,84.71407162966311,-1.7930504510416567,7.548218346247998,3.743597971090941,8,4,19
1237663234452947200,0.9593666052398494,27.319358479552033,3.0073565823266906,1.5037166161784172,20,10,47
1237658424093769984,167.07124559216484,7.313732083517937,3.684178726453766,1.6540510131540522,17,8,37
1237663273095791360,325.0278654847496,73.23123845391937,56.54052758119676,37.173898041548625,92,62,284
1237672025169593856,329.7514645122857,44.273108437028064,1.0849172381096288,0.2720464477150372,6,1,10
1237668757774467584,302.71838046628403,-11.920217120375034,30.341635657576482,15.85361279176826,37,19,104
1237655124472234240,184.1024179227072,4.201497556568663,0.9043693251727571,0.3014382122041803,6,2,14
1237663229077817600,334.35803491140217,68.25297772328807,33.799818649265816,31.240039510312307,37,34,94
1237668271378006528,NA,NA,NA,0.3007479650785365,2,2,2
1237662226235588864,240.08745008436222,26.731317805261032,4.187886011638389,2.699614567749764,28,18,82
1237654653097279744,118.85349939774565,35.550114388987765,4.059500792500575,2.5558246086236474,27,17,61
1237678906248855808,7.407685257395346,9.606582582343265,0.6014959643893476,0.15037400020076785,4,1,7
1237666406846955776,34.66653754352846,-0.9067290378058314,0.6014971540976195,0.6014971540976195,4,4,7
1237648721248846080,221.3368672124973,-0.03755225075888983,23.251521188583922,14.6109433364924,24,15,63
1237663268797808896,286.49845721415994,78.48873510884962,27.63515405733636,25.68619952913764,28,26,70
1237657877004747008,122.30522058877088,27.299579022769134,6.053311977520994,5.491728346459452,19,17,37
1237658612515733760,162.4384136683433,47.25434909960047,3.9213970925913024,2.131621334823557,26,14,68
1237652899691036928,38.55139425801476,-9.024591039855865,3.985948034039664,2.046858964167145,25,13,64
1237673429080867584,101.99294361412751,36.74116672262774,2.1052393081979,1.0526183432412393,14,7,35
