ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,number_of_matches,cor_logit
302.629559975138,77.1305045874971,19.45843,18.02282,17.38089,17.10378,16.94093,1237663229609181696,1869048600252672000,STAR,F9,segue1,1660,53230,199,262.930927113971,32.8238497437419,20.14573,18.55697,17.97828,17.79597,17.67841,1237665583262532096,2546832945839106048,STAR,F9,segue1,2262,54623,172,0.9935290202219488,33163,5.730334193079187
249.127544924118,20.8222579804894,19.51068,19.04462,18.91085,18.89899,18.97635,1237662225703174400,1868029077995153408,STAR,CV,sdss,1659,53224,586,200.031503939692,21.805436770102,19.18871,18.06325,18.1517,18.28543,18.34977,1237667782840877056,2985994380717877248,STAR,A0,sdss,2652,54508,392,0.974232692869843,17111,4.338828569009661
251.286121399432,19.2131041412694,19.72042,18.66362,18.27213,18.09094,18.02618,1237662225704289024,4573667745430740992,STAR,F3/F5V (30743),boss,4062,55383,954,15.1065685024188,0.657544226441539,19.83278,18.92531,18.56109,18.43556,18.37211,1237663204920787200,1685629714003159040,STAR,F5,sdss,1497,52886,573,0.9932611347401964,75565,5.689635785919937
220.948412683656,47.0069093168661,19.68388,18.53245,18.08844,17.90903,17.80944,1237662302436851712,1884920879159207936,STAR,F9,sdss,1674,53464,598,145.801962549378,38.9738044871733,17.46638,16.31079,15.93521,15.83401,15.80112,1237660963479748608,3630063558978543616,STAR,G0,segue2,3224,54849,590,0.9569924927010084,75316,3.8177894424590795
23.0413518371923,-10.2507407123987,18.22746,16.84266,16.29179,16.09764,15.98401,1237652616204517632,2155051923974154240,STAR,F9,segue1,1914,53729,289,340.065585288448,-0.31330311597342,17.99714,16.76299,16.31659,16.15781,16.07944,1237663478724886528,1167590687273674752,STAR,G2,sdss,1037,52878,118,0.968372688371146,58658,4.130941394495598
328.016284469951,-0.911685202178879,20.12178,18.77103,18.1441,17.88156,17.76761,1237657189817451008,1246393511780050944,STAR,F9,sdss,1107,52968,81,133.315891091052,12.2169970844459,19.47411,18.47087,18.03849,17.87876,17.79601,1237671262809358848,3007433476912815104,STAR,F2,segue1,2671,54141,563,0.8206600720475631,59713,2.31767134748212
334.482967344378,-1.11863442107863,18.69784,17.44739,17.07972,16.93452,16.84168,1237656567047913728,421089343986231296,STAR,F5,sdss,374,51791,10,182.225011324052,43.1136468651325,17.56045,16.66606,16.33372,16.22548,16.21659,1237662195599409152,7473782512365314048,STAR,F3/F5V (30743),boss,6638,56370,214,0.970595025162386,87631,4.204926947162186
36.2322220595891,-8.02444149675058,18.56556,17.40966,17.02245,16.85047,16.76038,1237652901300666368,511276237461678080,STAR,G0,sdss,454,51908,428,224.695397974912,4.41787321230274,19.27227,18.33497,17.99654,17.86975,17.81031,1237651823250047232,5378616365270671360,STAR,F3/F5V (30743),boss,4777,55707,700,0.9914869982052452,79467,5.455042256229191
198.816029935236,33.8057612519796,18.55172,17.13789,16.55587,16.34464,16.25772,1237665128012120064,3802255053042065408,STAR,F9,segue2,3377,54950,331,345.616722138355,7.50704959430114,18.76645,17.74283,17.40171,17.26153,17.19864,1237669518509342976,2600988825991800832,STAR,F5,segue1,2310,53710,582,0.9371201089744986,71014,3.4277312541509164
359.932381205297,29.0845645124053,20.10395,18.5683,17.97555,17.74056,17.69822,1237663233915289600,3179650263266912256,STAR,F9,segue1,2824,54452,396,84.0689383464446,-0.490693875533752,18.10801,16.75656,16.41382,16.28241,16.2357,1237666407405453824,2310367556621330432,STAR,A0,segue1,2052,53401,76,0.903021298017522,76543,2.9767066718411175
