"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237655349967847936",245.141528755159,45.4228673049795,21.75415,21.02063,20.32538,20.05871,19.76804,0.33471577487335
"2","1237655474502762752",245.06515905998,45.363978313478,20.70363,18.73659,18.04585,17.81975,17.74183,0.862535145475516
"4","1237655474502763008",245.063556741085,45.3863500704176,22.12906,20.32693,19.60227,19.30794,19.24829,0.491407192288718
"5","1237655349967847936",245.09058022463,45.4850127522182,21.5576,20.79172,20.10845,19.8773,19.67434,0.422807269996105
"11","1237665355624415232",245.15048061133,45.3942408864852,21.03168,19.09736,18.36632,18.08825,17.98308,0.850608384800606
"15","1237665355624415232",245.192811568397,45.4349262696131,19.4516,17.51824,16.79273,16.54547,16.42233,0.917839461385667
"16","1237665355624415232",245.15142980266,45.3665098277209,20.53732,18.70548,17.96083,17.69542,17.53684,0.841171613654461
"17","1237655349967782144",245.096845382031,45.5295418211825,20.46048,18.5767,17.83321,17.53821,17.41275,0.823531812104128
"22","1237665355624481024",245.25623005542,45.5163953250822,20.79424,19.1978,18.50158,18.25227,18.09768,0.877931281449074
"23","1237665355624415232",245.23205824511,45.4483826372338,19.8294,17.75921,16.9483,16.6549,16.48388,0.829935421961005
"35","1237655474502762752",245.044932536052,45.3664420598089,19.925,17.9883,17.29359,17.02661,16.87134,0.8419747815037
